x_coord, y_coord,class
-15,  0, 0
-14,  0, 0
-13,  0, 0
-12,  0, 0
-11,  0, 0
-10,  0, 0
 -9,  0, 0
 -8,  0, 0
 -7,  0, 0
 -6,  0, 0
 -5,  0, 0
 -4,  0, 0
 -3,  0, 0
 -2,  0, 0
 -1,  0, 0
  1,  0, 0
  2,  0, 0
  3,  0, 0
  4,  0, 0
  5,  0, 0
  6,  0, 0
  7,  0, 0
  8,  0, 0
  9,  0, 0
 10,  0, 0
 11,  0, 0
 12,  0, 0
 13,  0, 0
 14,  0, 0
 15,  0, 0
  0,-15, 1
  0,-14, 1
  0,-13, 1
  0,-12, 1
  0,-11, 1
  0,-10, 1
  0, -9, 1
  0, -8, 1
  0, -7, 1
  0, -6, 1
  0, -5, 1
  0, -4, 1
  0, -3, 1
  0, -2, 1
  0, -1, 1
  0,  1, 1
  0,  2, 1
  0,  3, 1
  0,  4, 1
  0,  5, 1
  0,  6, 1
  0,  7, 1
  0,  8, 1
  0,  9, 1
  0, 10, 1
  0, 11, 1
  0, 12, 1
  0, 13, 1
  0, 14, 1
  0, 15, 1
 -7,  8, 0
 -6,  8, 0
 -5,  8, 0
 -4,  8, 0
 -3,  8, 0
 -2,  8, 0
 -1,  8, 0
  1,  8, 0
  2,  8, 0
  3,  8, 0
  4,  8, 0
  5,  8, 0
  6,  8, 0
  7,  8, 0
 -7, -8, 0
 -6, -8, 0
 -5, -8, 0
 -4, -8, 0
 -3, -8, 0
 -2, -8, 0
 -1, -8, 0
  1, -8, 0
  2, -8, 0
  3, -8, 0
  4, -8, 0
  5, -8, 0
  6, -8, 0
  7, -8, 0
  8, -7, 1
  8, -6, 1
  8, -5, 1
  8, -4, 1
  8, -3, 1
  8, -2, 1
  8, -1, 1
  8,  1, 1
  8,  2, 1
  8,  3, 1
  8,  4, 1
  8,  5, 1
  8,  6, 1
  8,  7, 1
 -8, -7, 1
 -8, -6, 1
 -8, -5, 1
 -8, -4, 1
 -8, -3, 1
 -8, -2, 1
 -8, -1, 1
 -8,  1, 1
 -8,  2, 1
 -8,  3, 1
 -8,  4, 1
 -8,  5, 1
 -8,  6, 1
 -8,  7, 1
  5,  4, 0
  6,  4, 0
  7,  4, 0
  9,  4, 0
 10,  4, 0
 11,  4, 0
  5, -4, 0
  6, -4, 0
  7, -4, 0
  9, -4, 0
 10, -4, 0
 11, -4, 0
  4,  5, 1
  4,  6, 1
  4,  7, 1
  4,  9, 1
  4, 10, 1
  4, 11, 1
 -4,  5, 1
 -4,  6, 1
 -4,  7, 1
 -4,  9, 1
 -4, 10, 1
 -4, 11, 1
-11,  4, 0
-10,  4, 0
 -9,  4, 0
 -7,  4, 0
 -6,  4, 0
 -5,  4, 0
-11, -4, 0
-10, -4, 0
 -9, -4, 0
 -7, -4, 0
 -6, -4, 0
 -5, -4, 0
  4,-11, 1
  4,-10, 1
  4, -9, 1
  4, -7, 1
  4, -6, 1
  4, -5, 1
 -4,-11, 1
 -4,-10, 1
 -4, -9, 1
 -4, -7, 1
 -4, -6, 1
 -4, -5, 1
 -3, 12, 0
 -2, 12, 0
 -1, 12, 0
  1, 12, 0
  2, 12, 0
  3, 12, 0
 -3,-12, 0
 -2,-12, 0
 -1,-12, 0
  1,-12, 0
  2,-12, 0
  3,-12, 0
 12, -3, 1
 12, -2, 1
 12, -1, 1
 12,  1, 1
 12,  2, 1
 12,  3, 1
-12, -3, 1
-12, -2, 1
-12, -1, 1
-12,  1, 1
-12,  2, 1
-12,  3, 1
  7,  6, 0
  9,  6, 0
  7, -6, 0
  9, -6, 0
 -9,  6, 0
 -7,  6, 0
 -9, -6, 0
 -7, -6, 0
  6,  7, 1
  6,  9, 1
 -6,  7, 1
 -6,  9, 1
  6, -9, 1
  6, -7, 1
 -6, -9, 1
 -6, -7, 1
  3,  6, 0
  5,  6, 0
  3, -6, 0
  5, -6, 0
 -5,  6, 0
 -3,  6, 0
 -5, -6, 0
 -3, -6, 0
  6,  3, 1
  6,  5, 1
 -6,  3, 1
 -6,  5, 1
  6, -5, 1
  6, -3, 1
 -6, -5, 1
 -6, -3, 1
  3, 10, 0
  5, 10, 0
  3,-10, 0
  5,-10, 0
 -5, 10, 0
 -3, 10, 0
 -5,-10, 0
 -3,-10, 0
 10,  3, 1
 10,  5, 1
-10,  3, 1
-10,  5, 1
 10, -5, 1
 10, -3, 1
-10, -5, 1
-10, -3, 1
 11,  2, 0
 13,  2, 0
 11, -2, 0
 13, -2, 0
-13,  2, 0
-11,  2, 0
-13, -2, 0
-11, -2, 0
  2, 11, 1
  2, 13, 1
 -2, 11, 1
 -2, 13, 1
  2,-13, 1
  2,-11, 1
 -2,-13, 1
 -2,-11, 1
 -1, 14, 0
  1, 14, 0
 -1,-14, 0
  1,-14, 0
 14, -1, 1
 14,  1, 1
-14, -1, 1
-14,  1, 1
